"WordCount","SentimentGI","NegativityGI","PositivityGI","SentimentHE","NegativityHE","PositivityHE","SentimentLM","NegativityLM","PositivityLM","RatioUncertaintyLM","SentimentQDAP","NegativityQDAP","PositivityQDAP"
6,0.5,0,0.5,0.166666666666667,0,0.166666666666667,-0.166666666666667,0.166666666666667,0,0,0.166666666666667,0,0.166666666666667
27,-0.037037037037037,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0
19,-0.105263157894737,0.157894736842105,0.0526315789473684,0,0,0,0,0,0,0,0.0526315789473684,0.0526315789473684,0.105263157894737
11,0.0909090909090909,0,0.0909090909090909,0,0,0,0,0,0,0,0.0909090909090909,0,0.0909090909090909
8,0.25,0,0.25,0.125,0,0.125,0.125,0,0.125,0,0.125,0,0.125
26,-0.0769230769230769,0.153846153846154,0.0769230769230769,0,0,0,0,0,0,0.0384615384615385,-0.0769230769230769,0.115384615384615,0.0384615384615385
26,0.115384615384615,0.115384615384615,0.230769230769231,0,0,0,0,0,0,0.0384615384615385,0.0384615384615385,0,0.0384615384615385
27,0.037037037037037,0.111111111111111,0.148148148148148,0,0,0,-0.0740740740740741,0.0740740740740741,0,0.037037037037037,0.0740740740740741,0.0740740740740741,0.148148148148148
11,0.272727272727273,0.0909090909090909,0.363636363636364,0,0,0,-0.0909090909090909,0.0909090909090909,0,0,0.0909090909090909,0,0.0909090909090909
18,0.222222222222222,0,0.222222222222222,0,0,0,0.166666666666667,0,0.166666666666667,0,0.111111111111111,0,0.111111111111111
20,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0.16,0.16,0,0,0,0.04,0,0.04,0,0.08,0.04,0.12
12,0.25,0.0833333333333333,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333
10,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.0625,0.125,0.1875,0,0,0,-0.0625,0.125,0.0625,0.0625,0.125,0,0.125
25,0,0.16,0.16,0,0,0,0.04,0,0.04,0,0.08,0.04,0.12
9,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.09375,0,0.09375,0,0,0,0,0,0,0,0.125,0,0.125
18,0.222222222222222,0,0.222222222222222,0,0,0,0,0,0,0,0.222222222222222,0,0.222222222222222
7,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0
