,Title,Source,URL
13,AWS's DeepComposer music keyboard is powered by AI,Fast Company,https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LmZhc3Rjb21wYW55LmNvbS85MDQzNzYyNS9hbWF6b25zLWtvb2t5LW5ldy1rZXlib2FyZC1sZXRzLWh1bWFucy1hbmQtYWktd3JpdGUtbXVzaWMtdG9nZXRoZXLSAQA?hl=en-US&gl=US&ceid=US%3Aen
14,'Bot Dylan': Singer-songwriter robot called Schimon can write its own lyrics after studying tens of thousands of words penned by the musical greats - and has an album out in the Spring,msnNOW,https://news.google.com/articles/CBMi6QFodHRwczovL3d3dy5tc24uY29tL2VuLXVzL25ld3MvdGVjaG5vbG9neS9ib3QtZHlsYW4tc2luZ2VyLXNvbmd3cml0ZXItcm9ib3QtY2FsbGVkLXNjaGltb24tY2FuLXdyaXRlLWl0cy1vd24tbHlyaWNzLWFmdGVyLXN0dWR5aW5nLXRlbnMtb2YtdGhvdXNhbmRzLW9mLXdvcmRzLXBlbm5lZC1ieS10aGUtbXVzaWNhbC1ncmVhdHMtYW5kLWhhcy1hbi1hbGJ1bS1vdXQtaW4tdGhlLXNwcmluZy9hci1CQjEwUXhGY9IBAA?hl=en-US&gl=US&ceid=US%3Aen
15,"Summer Nostos Festival: June 21-28, 2020",The National Herald,https://news.google.com/articles/CBMiUGh0dHBzOi8vd3d3LnRoZW5hdGlvbmFsaGVyYWxkLmNvbS8yODY0MDUvc3VtbWVyLW5vc3Rvcy1mZXN0aXZhbC1qdW5lLTIxLTI4LTIwMjAv0gEA?hl=en-US&gl=US&ceid=US%3Aen
16,AI to compose classical music live in concert – with over 100 musicians,Classic FM,https://news.google.com/articles/CBMiUWh0dHBzOi8vd3d3LmNsYXNzaWNmbS5jb20vbXVzaWMtbmV3cy9haS1jb25jZXJ0LWhvc3RlZC13Y2l0LWZpcnN0LXRpbWUtb3JjaGVzdHJhL9IBUWh0dHBzOi8vYW1wLmNsYXNzaWNmbS5jb20vbXVzaWMtbmV3cy9haS1jb25jZXJ0LWhvc3RlZC13Y2l0LWZpcnN0LXRpbWUtb3JjaGVzdHJhLw?hl=en-US&gl=US&ceid=US%3Aen
17,How AI can help everyone become a musician,Red Bull,https://news.google.com/articles/CBMiQ2h0dHBzOi8vd3d3LnJlZGJ1bGwuY29tL2ludC1lbi9ob3ctYWktd2lsbC1tYWtlLWV2ZXJ5b25lLWEtbXVzaWNpYW7SAQA?hl=en-US&gl=US&ceid=US%3Aen
18,8 AI tools that are at the cutting edge of music production,Happy Mag,https://news.google.com/articles/CBMiTmh0dHBzOi8vaGFwcHltYWcudHYvOC10b29scy10aGF0LXVzZS1hcnRpZmljaWFsLWludGVsbGlnZW5jZS10by1wcm9kdWNlLW11c2ljL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
19,How AI-generated music is changing the way hits are made,The Verge,https://news.google.com/articles/CAIiEEa7JP18fALGiWzX_ZO7d2EqFwgEKg4IACoGCAow3O8nMMqOBjCzr7gD?hl=en-US&gl=US&ceid=US%3Aen
20,Command & Conquer Remastered launches June 5 on Origin and Steam,Neowin,https://news.google.com/articles/CBMiXGh0dHBzOi8vd3d3Lm5lb3dpbi5uZXQvbmV3cy9jb21tYW5kLS1jb25xdWVyLXJlbWFzdGVyZWQtbGF1bmNoZXMtanVuZS01LW9uLW9yaWdpbi1hbmQtc3RlYW0v0gFbaHR0cHM6Ly93d3cubmVvd2luLm5ldC9hbXAvY29tbWFuZC0tY29ucXVlci1yZW1hc3RlcmVkLWxhdW5jaGVzLWp1bmUtNS1vbi1vcmlnaW4tYW5kLXN0ZWFtLw?hl=en-US&gl=US&ceid=US%3Aen
21,Amazon’s new ‘AI keyboard’ is confusing everyone,The Verge,https://news.google.com/articles/CAIiEEOeRJ3pmldpOnjX8vfvHrgqFwgEKg4IACoGCAow3O8nMMqOBjCt2ugF?hl=en-US&gl=US&ceid=US%3Aen
22,Nine outrageous things AI can already do — including compose music and make you dance,National Post,https://news.google.com/articles/CBMiS2h0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL2NhbmFkYS93aGF0LWNhbi1haS1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1kb9IBT2h0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL2NhbmFkYS93aGF0LWNhbi1haS1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1kby9hbXA?hl=en-US&gl=US&ceid=US%3Aen
